fa fa-500px
fa fa-amazon
faÿfa-balance-scale
faÿfa-battery-0ÿ(alias)
faÿfa-battery-1ÿ(alias)
faÿfa-battery-2ÿ(alias)
faÿfa-battery-3ÿ(alias)
faÿfa-battery-4ÿ(alias)
faÿfa-battery-empty
faÿfa-battery-full
faÿfa-battery-half
faÿfa-battery-quarter
faÿfa-battery-three-quarters
faÿfa-black-tie
faÿfa-calendar-check-o
faÿfa-calendar-minus-o
faÿfa-calendar-plus-o
faÿfa-calendar-times-o
faÿfa-cc-diners-club
faÿfa-cc-jcb
faÿfa-chrome
faÿfa-clone
faÿfa-commenting
faÿfa-commenting-o
faÿfa-contao
faÿfa-creative-commons
faÿfa-expeditedssl
faÿfa-firefox
faÿfa-fonticons
faÿfa-genderless
faÿfa-get-pocket
faÿfa-gg
faÿfa-gg-circle
faÿfa-hand-grab-oÿ(alias)
faÿfa-hand-lizard-o
faÿfa-hand-paper-o
faÿfa-hand-peace-o
faÿfa-hand-pointer-o
faÿfa-hand-rock-o
faÿfa-hand-scissors-o
faÿfa-hand-spock-o
faÿfa-hand-stop-oÿ(alias)
faÿfa-hourglass
faÿfa-hourglass-1ÿ(alias)
faÿfa-hourglass-2ÿ(alias)
faÿfa-hourglass-3ÿ(alias)
faÿfa-hourglass-end
faÿfa-hourglass-half
faÿfa-hourglass-o
faÿfa-hourglass-start
faÿfa-houzz
faÿfa-i-cursor
faÿfa-industry
faÿfa-internet-explorer
faÿfa-map
faÿfa-map-o
faÿfa-map-pin
faÿfa-map-signs
faÿfa-mouse-pointer
faÿfa-object-group
faÿfa-object-ungroup
faÿfa-odnoklassniki
faÿfa-odnoklassniki-square
faÿfa-opencart
faÿfa-opera
faÿfa-optin-monster
faÿfa-registered
faÿfa-safari
faÿfa-sticky-note
faÿfa-sticky-note-o
faÿfa-television
faÿfa-trademark
faÿfa-tripadvisor
faÿfa-tvÿ(alias)
faÿfa-vimeo
faÿfa-wikipedia-w
faÿfa-y-combinator
faÿfa-ycÿ(alias)
faÿfa-adjust
faÿfa-anchor
faÿfa-archive
faÿfa-area-chart
faÿfa-arrows
faÿfa-arrows-h
faÿfa-arrows-v
faÿfa-asterisk
faÿfa-at
faÿfa-automobileÿ(alias)
faÿfa-balance-scale
faÿfa-ban
faÿfa-bankÿ(alias)
faÿfa-bar-chart
faÿfa-bar-chart-oÿ(alias)
faÿfa-barcode
faÿfa-bars
faÿfa-battery-0ÿ(alias)
faÿfa-battery-1ÿ(alias)
faÿfa-battery-2ÿ(alias)
faÿfa-battery-3ÿ(alias)
faÿfa-battery-4ÿ(alias)
faÿfa-battery-empty
faÿfa-battery-full
faÿfa-battery-half
faÿfa-battery-quarter
faÿfa-battery-three-quarters
faÿfa-bed
faÿfa-beer
faÿfa-bell
faÿfa-bell-o
faÿfa-bell-slash
faÿfa-bell-slash-o
faÿfa-bicycle
faÿfa-binoculars
faÿfa-birthday-cake
faÿfa-bolt
faÿfa-bomb
faÿfa-book
faÿfa-bookmark
faÿfa-bookmark-o
faÿfa-briefcase
faÿfa-bug
faÿfa-building
faÿfa-building-o
faÿfa-bullhorn
faÿfa-bullseye
faÿfa-bus
faÿfa-cabÿ(alias)
faÿfa-calculator
faÿfa-calendar
faÿfa-calendar-check-o
faÿfa-calendar-minus-o
faÿfa-calendar-o
faÿfa-calendar-plus-o
faÿfa-calendar-times-o
faÿfa-camera
faÿfa-camera-retro
faÿfa-car
faÿfa-caret-square-o-down
faÿfa-caret-square-o-left
faÿfa-caret-square-o-right
faÿfa-caret-square-o-up
faÿfa-cart-arrow-down
faÿfa-cart-plus
faÿfa-cc
faÿfa-certificate
faÿfa-check
faÿfa-check-circle
faÿfa-check-circle-o
faÿfa-check-square
faÿfa-check-square-o
faÿfa-child
faÿfa-circle
faÿfa-circle-o
faÿfa-circle-o-notch
faÿfa-circle-thin
faÿfa-clock-o
faÿfa-clone
faÿfa-closeÿ(alias)
faÿfa-cloud
faÿfa-cloud-download
faÿfa-cloud-upload
faÿfa-code
faÿfa-code-fork
faÿfa-coffee
faÿfa-cog
faÿfa-cogs
faÿfa-comment
faÿfa-comment-o
faÿfa-commenting
faÿfa-commenting-o
faÿfa-comments
faÿfa-comments-o
faÿfa-compass
faÿfa-copyright
faÿfa-creative-commons
faÿfa-credit-card
faÿfa-crop
faÿfa-crosshairs
faÿfa-cube
faÿfa-cubes
faÿfa-cutlery
faÿfa-dashboardÿ(alias)
faÿfa-database
faÿfa-desktop
faÿfa-diamond
faÿfa-dot-circle-o
faÿfa-download
faÿfa-editÿ(alias)
faÿfa-ellipsis-h
faÿfa-ellipsis-v
faÿfa-envelope
faÿfa-envelope-o
faÿfa-envelope-square
faÿfa-eraser
faÿfa-exchange
faÿfa-exclamation
faÿfa-exclamation-circle
faÿfa-exclamation-triangle
faÿfa-external-link
faÿfa-external-link-square
faÿfa-eye
faÿfa-eye-slash
faÿfa-eyedropper
faÿfa-fax
faÿfa-feedÿ(alias)
faÿfa-female
faÿfa-fighter-jet
faÿfa-file-archive-o
faÿfa-file-audio-o
faÿfa-file-code-o
faÿfa-file-excel-o
